"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"faceb488-a0c5-4ea1-a687-63c73fb9bee0","HOMER, ODYSSEY, BOOK 12.txt","For on one side lay Scylla and on the other divine Charybdis","char-offset:13236","PLACE","http://pleiades.stoa.org/places/462157","Charybdis","-0550/0300","38.260268","15.660384","whirlpool","VERIFIED","","","",""
"f3a351c5-d145-4bf1-b287-2c4ae463bb04","HOMER, ODYSSEY, BOOK 12.txt","then I went apart up the island","char-offset:18819","PLACE","http://pleiades.stoa.org/places/462492","Sicilia (island)","-0750/2100","37.53667611952188","14.08648464579389","island","VERIFIED","","","",""
"9e02d844-f70a-4acf-aa7c-bc9f86e92530","HOMER, ODYSSEY, BOOK 12.txt","Ogygia","char-offset:25478","PLACE","http://pleiades.stoa.org/places/462213","Gaulos (island)","-0750/2100","36.0196276","14.2925337","island","VERIFIED","","","",""
