"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d774c6c7-adc7-49f9-ba08-2e5a588beb37","HOMER, ODYSSEY, BOOK 9.txt","Ilios","char-offset:2156","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"c07c5765-22b5-48c0-8ba5-672c7fa5357c","HOMER, ODYSSEY, BOOK 9.txt","Ismarus","char-offset:2213","PLACE","http://pleiades.stoa.org/places/501440","Ismaris L.","","40.9973096","25.3111574","lake","VERIFIED","","","",""
"c3840e0b-0d26-4d32-93bc-cdf295a4d4df","HOMER, ODYSSEY, BOOK 9.txt","Malea","char-offset:4643","PLACE","http://pleiades.stoa.org/places/570455","Malea Pr.|Malea Pr., Akr. Maleas","","36.43603","23.19975","cape","VERIFIED","","","",""
"f4e8c4d3-51fa-4134-af0e-02392d1c414c","HOMER, ODYSSEY, BOOK 9.txt","Cythera","char-offset:4683","PLACE","http://pleiades.stoa.org/places/570400","Kythera|Cythera Ins.|Cythera Ins., Kythira|Kythera, Kythera","-0750/0300","36.26229","22.97822","island,settlement","VERIFIED","","","",""
"ceeefa9f-b084-44c4-a8be-c9de7d6a83c6","HOMER, ODYSSEY, BOOK 9.txt","land of the Lotus-eaters","char-offset:4815","PLACE","http://pleiades.stoa.org/places/344440","Meninx/Lotophagitis/Girba Ins.|Girba?|Girba?, Houmt-Souk|Meninx Ins./Lotophagitis Ins./Girba Ins., Djerba","-0330/0640","33.874783","10.859558","island,settlement","VERIFIED","","","",""
"a9bfdd57-b04c-41db-83ba-c4113b9126fd","HOMER, ODYSSEY, BOOK 9.txt","land of the Cyclopes","char-offset:6055","PLACE","http://sws.geonames.org/6559422","Aci Trezza","","37.56385","15.16136","","VERIFIED","","","",""
