"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"6029298f-c372-4349-bed6-bc507f80baeb","VIRGIL, AENEID, BOOK 1.txt","Trojan shore.","char-offset:138","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","troy","",""
"78fd4788-a6fd-45bd-9bc2-5e7b617f9589","VIRGIL, AENEID, BOOK 1.txt","Carthage","char-offset:953","PLACE","http://pleiades.stoa.org/places/314921","Ziqua|Monument circulaire|Basilique de Dermech|Odéon|Théâtre|Carthago|Carthago, Carthago|Nécropoles puniques|Rotonde de Damous El Karita|Ziqua, Zaghouan","-0750/2100","36.857569","10.327986","amphitheatre,cemetery,villa,theatre,port,church,settlement,circus,bath","VERIFIED","","","",""
"cee38c55-7018-45a0-a73d-0a7500cb2a48","VIRGIL, AENEID, BOOK 1.txt","Carthage","char-offset:1253","PLACE","http://pleiades.stoa.org/places/314921","Ziqua|Monument circulaire|Basilique de Dermech|Odéon|Théâtre|Carthago|Carthago, Carthago|Nécropoles puniques|Rotonde de Damous El Karita|Ziqua, Zaghouan","-0750/2100","36.857569","10.327986","amphitheatre,cemetery,villa,theatre,port,church,settlement,circus,bath","VERIFIED","","","",""
"39e94912-5c87-4fc6-abe0-9241b74944da","VIRGIL, AENEID, BOOK 1.txt","Carthage","char-offset:20737","PLACE","http://pleiades.stoa.org/places/314921","Ziqua|Monument circulaire|Basilique de Dermech|Odéon|Théâtre|Carthago|Carthago, Carthago|Nécropoles puniques|Rotonde de Damous El Karita|Ziqua, Zaghouan","-0750/2100","36.857569","10.327986","amphitheatre,cemetery,villa,theatre,port,church,settlement,circus,bath","VERIFIED","","","",""
"9c5ae66b-de6c-4bc0-a5c5-e053f52b2cda","VIRGIL, AENEID, BOOK 1.txt","Carthage","char-offset:22420","PLACE","http://pleiades.stoa.org/places/314921","Ziqua|Monument circulaire|Basilique de Dermech|Odéon|Théâtre|Carthago|Carthago, Carthago|Nécropoles puniques|Rotonde de Damous El Karita|Ziqua, Zaghouan","-0750/2100","36.857569","10.327986","amphitheatre,cemetery,villa,theatre,port,church,settlement,circus,bath","VERIFIED","","","",""
